Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
28.06.2019,36.24,36.45,36.49,36.18,-,-0.03%
27.06.2019,36.25,36.2,36.43,35.7,20.60M,-0.68%
26.06.2019,36.5,35.85,36.5,35.73,32.83M,2.38%
25.06.2019,35.65,36,36.23,35.48,23.70M,-1.25%
24.06.2019,36.1,36.24,36.5,35.79,22.67M,-0.22%
21.06.2019,36.18,35.58,36.18,35.5,27.42M,2.26%
19.06.2019,35.38,34.64,35.49,34.47,23.18M,1.58%
18.06.2019,34.83,34.35,34.83,34.18,22.73M,2.59%
17.06.2019,33.95,33.9,34.32,33.81,15.61M,-0.12%
14.06.2019,33.99,33.9,34.07,33.48,18.66M,0.03%
13.06.2019,33.98,34.55,34.58,33.71,36.79M,-1.79%
12.06.2019,34.6,34.8,35.12,34.47,17.61M,-0.57%
11.06.2019,34.8,34.85,34.98,34.24,29.12M,0.49%
10.06.2019,34.63,34.85,34.87,34.11,18.22M,-1.25%
07.06.2019,35.07,34.78,35.28,34.67,13.31M,1.07%
06.06.2019,34.7,34.69,34.89,34.38,11.37M,1.05%
05.06.2019,34.34,35.09,35.16,34.27,12.12M,-1.94%
04.06.2019,35.02,35.2,35.3,34.76,16.50M,-0.17%
03.06.2019,35.08,35.2,35.32,34.73,18.90M,0.23%
31.05.2019,35,34.89,35.4,34.75,-,-0.23%
30.05.2019,35.08,34.81,35.22,34.68,-,1.04%
29.05.2019,34.72,33.85,34.89,33.85,-,1.88%
28.05.2019,34.08,33.28,34.08,33.12,-,2.81%
27.05.2019,33.15,33.33,33.58,33.03,-,0.36%
24.05.2019,33.03,33.8,33.85,33.01,-,-1.49%
23.05.2019,33.53,33.39,33.72,33.13,-,-0.21%
22.05.2019,33.6,33.7,33.8,32.97,-,0.12%
21.05.2019,33.56,32.4,33.59,32.36,-,3.84%
20.05.2019,32.32,31.7,32.38,31.39,-,2.60%
17.05.2019,31.5,31.37,32,31.11,-,0.19%
16.05.2019,31.44,31.5,31.67,31.16,-,-1.29%
15.05.2019,31.85,31.51,31.85,31.14,-,0.31%
14.05.2019,31.75,32.07,32.18,31.63,-,-0.47%
