Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
28.06.2019,10.93,10.99,10.99,10.85,-,-0.09%
27.06.2019,10.94,10.51,10.94,10.47,6.76M,3.11%
26.06.2019,10.61,10.77,10.83,10.46,8.57M,-0.47%
25.06.2019,10.66,11,11.1,10.61,12.63M,-2.47%
24.06.2019,10.93,10.85,11.09,10.72,13.45M,0.55%
21.06.2019,10.87,10.49,10.9,10.37,24.13M,3.62%
19.06.2019,10.49,10.27,10.49,10.01,13.98M,2.34%
18.06.2019,10.25,10.3,10.35,10.1,12.82M,0.59%
17.06.2019,10.19,10.54,10.54,10.19,6.68M,-2.77%
14.06.2019,10.48,10.5,10.64,10.33,6.25M,-0.66%
13.06.2019,10.55,10.39,10.82,10.35,13.87M,1.93%
12.06.2019,10.35,10.36,10.6,10.22,16.74M,-0.48%
11.06.2019,10.4,10.5,10.55,10.31,7.58M,-0.38%
10.06.2019,10.44,10.43,10.48,10.25,13.06M,-0.57%
07.06.2019,10.5,10.25,10.66,10.21,14.04M,2.74%
06.06.2019,10.22,10.5,10.57,10.16,7.80M,-2.57%
05.06.2019,10.49,10.7,10.8,10.39,10.42M,-1.50%
04.06.2019,10.65,10.4,10.73,10.28,10.49M,2.50%
03.06.2019,10.39,10.28,10.48,10.23,14.44M,0.48%
31.05.2019,10.34,9.99,10.34,9.91,15.24M,2.68%
30.05.2019,10.07,10.01,10.13,9.9,8.41M,0.50%
29.05.2019,10.02,9.94,10.19,9.9,7.65M,-0.10%
28.05.2019,10.03,9.98,10.08,9.8,14.78M,0.50%
27.05.2019,9.98,9.58,10,9.5,7.70M,5.05%
24.05.2019,9.5,9.69,9.72,9.32,9.66M,-1.04%
23.05.2019,9.6,9.5,10,9.48,16.48M,1.37%
22.05.2019,9.47,9.48,9.66,9.33,17.67M,0.32%
21.05.2019,9.44,9.08,9.53,9.08,25.57M,4.54%
20.05.2019,9.03,8.84,9.1,8.76,14.20M,3.20%
17.05.2019,8.75,8.95,9.13,8.71,14.53M,-2.78%
16.05.2019,9,9.21,9.29,8.95,19.40M,-4.05%
15.05.2019,9.38,9.43,9.44,9.05,27.89M,-5.25%
14.05.2019,9.9,10,10.06,9.76,7.04M,-0.40%
13.05.2019,9.94,9.83,10.01,9.74,13.44M,-1.00%
10.05.2019,10.04,9.6,10.19,9.5,17.76M,4.47%
09.05.2019,9.61,9.34,9.73,9.28,9.49M,2.23%
08.05.2019,9.4,9.27,9.55,9.25,15.24M,1.62%
07.05.2019,9.25,9.4,9.54,9.15,12.36M,-1.07%
06.05.2019,9.35,9.4,9.46,9.3,6.22M,-0.95%
03.05.2019,9.44,9.63,9.68,9.44,7.72M,-1.15%
02.05.2019,9.55,9.75,9.85,9.55,7.26M,-2.05%
30.04.2019,9.75,9.88,9.89,9.68,6.34M,-0.61%
29.04.2019,9.81,9.93,10.03,9.72,6.82M,-0.41%
26.04.2019,9.85,9.88,9.99,9.76,6.86M,0.00%
25.04.2019,9.85,9.67,9.96,9.62,7.79M,1.55%
24.04.2019,9.7,9.9,9.94,9.6,11.99M,-1.52%
23.04.2019,9.85,10.15,10.26,9.82,13.95M,-2.28%
22.04.2019,10.08,9.89,10.08,9.67,7.18M,2.02%
18.04.2019,9.88,9.88,9.98,9.67,8.88M,0.92%
17.04.2019,9.79,10.01,10.2,9.7,19.17M,-1.61%
16.04.2019,9.95,10.12,10.3,9.92,10.19M,-1.97%
15.04.2019,10.15,10.32,10.38,10.03,7.72M,-1.65%
12.04.2019,10.32,10.39,10.67,10.29,7.51M,-1.53%
11.04.2019,10.48,10.45,10.56,10.32,9.10M,1.06%
10.04.2019,10.37,10.33,10.39,10.05,15.73M,0.78%
09.04.2019,10.29,10.52,10.52,10.21,8.10M,-2.56%
08.04.2019,10.56,10.68,10.78,10.45,8.19M,-0.85%
05.04.2019,10.65,10.8,10.87,10.5,10.07M,-1.66%
04.04.2019,10.83,10.18,10.83,9.87,16.40M,5.97%
03.04.2019,10.22,10.33,10.4,10.06,9.07M,-0.87%
02.04.2019,10.31,10.36,10.44,10.04,8.56M,-0.10%
01.04.2019,10.32,10.62,10.68,10.24,7.74M,-2.37%
29.03.2019,10.57,10.62,10.69,10.24,20.15M,-2.85%
28.03.2019,10.88,10.4,10.97,10.28,9.89M,5.32%
27.03.2019,10.33,10.96,11.09,10.33,13.20M,-6.68%
26.03.2019,11.07,11.28,11.41,10.97,9.73M,-0.98%
25.03.2019,11.18,10.78,11.37,10.68,13.98M,3.14%
22.03.2019,10.84,10.54,11.05,10.48,17.84M,0.37%
21.03.2019,10.8,10.92,10.99,10.45,10.44M,-1.73%
20.03.2019,10.99,10.84,11.22,10.79,8.62M,1.20%
19.03.2019,10.86,10.99,11.06,10.82,5.49M,-0.91%
18.03.2019,10.96,10.83,10.99,10.74,6.34M,1.95%
15.03.2019,10.75,11.07,11.33,10.72,14.37M,-2.45%
14.03.2019,11.02,11.04,11.19,10.78,6.42M,-0.45%
13.03.2019,11.07,11.19,11.27,10.92,9.39M,-1.16%
12.03.2019,11.2,11.42,11.42,11.19,8.45M,-2.18%
11.03.2019,11.45,11.09,11.45,10.88,12.77M,2.78%
08.03.2019,11.14,10.28,11.27,10.19,20.64M,7.74%
07.03.2019,10.34,10.47,10.5,10.15,9.38M,-1.52%
06.03.2019,10.5,10.88,11,10.47,9.07M,-3.14%
01.03.2019,10.84,10.97,11.09,10.74,6.54M,-0.91%
28.02.2019,10.94,10.92,11.07,10.85,6.80M,-1.08%
27.02.2019,11.06,10.94,11.12,10.91,6.55M,0.64%
26.02.2019,10.99,11.15,11.18,10.93,5.34M,-1.88%
25.02.2019,11.2,11.37,11.53,11.12,14.93M,-1.41%
22.02.2019,11.36,11.04,11.47,11.04,15.65M,1.88%
21.02.2019,11.15,10.66,11.18,10.5,22.01M,5.29%
20.02.2019,10.59,11.02,11.11,10.57,13.28M,-3.81%
19.02.2019,11.01,10.77,11.03,10.71,12.69M,2.23%
18.02.2019,10.77,10.57,10.89,10.39,13.60M,-0.74%
15.02.2019,10.85,11.55,11.55,10.79,25.06M,-6.22%
14.02.2019,11.57,11.39,11.66,11.27,16.69M,2.94%
13.02.2019,11.24,11.32,11.44,11.08,8.08M,-0.53%
12.02.2019,11.3,11.56,11.64,11.23,9.84M,-0.62%
11.02.2019,11.37,11.26,11.47,11.02,11.18M,2.16%
08.02.2019,11.13,11.06,11.19,10.77,16.77M,-0.18%
07.02.2019,11.15,11.07,11.41,10.89,9.79M,-0.36%
06.02.2019,11.19,11.56,11.56,11.1,10.64M,-3.87%
05.02.2019,11.64,11.72,11.84,11.49,6.32M,-0.68%
04.02.2019,11.72,11.57,11.78,11.51,7.43M,1.21%
01.02.2019,11.58,11.48,11.58,11.23,8.72M,1.58%
31.01.2019,11.4,11.89,12.06,11.3,21.28M,-4.28%
30.01.2019,11.91,11.34,11.91,11.29,12.77M,5.40%
29.01.2019,11.3,11.47,11.59,11.3,10.10M,-1.22%
28.01.2019,11.44,11.37,11.62,11.26,18.90M,0.26%
24.01.2019,11.41,10.77,11.47,10.72,30.52M,5.55%
23.01.2019,10.81,10.14,10.81,10.05,28.29M,7.24%
22.01.2019,10.08,10.06,10.14,9.9,8.65M,0.00%
21.01.2019,10.08,10.17,10.2,9.87,8.32M,-0.79%
18.01.2019,10.16,10.42,10.54,10.14,10.57M,-2.68%
17.01.2019,10.44,10.18,10.6,9.99,14.61M,2.05%
16.01.2019,10.23,10.1,10.3,10.07,11.67M,1.59%
15.01.2019,10.07,10.23,10.29,9.99,9.74M,-1.08%
14.01.2019,10.18,9.83,10.18,9.76,17.21M,3.56%
11.01.2019,9.83,9.64,9.83,9.61,12.91M,1.97%
10.01.2019,9.64,9.62,9.8,9.52,11.14M,0.84%
09.01.2019,9.56,9.2,9.75,9.2,17.06M,4.14%
08.01.2019,9.18,9.13,9.23,9.05,9.44M,0.77%
07.01.2019,9.11,9.38,9.38,9.03,13.47M,-2.57%
04.01.2019,9.35,9.43,9.45,9.07,11.83M,0.11%
03.01.2019,9.34,9.16,9.36,9.14,14.09M,1.19%
02.01.2019,9.23,8.92,9.45,8.86,23.71M,4.29%
