Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
28.06.2019,211.12,209.4,211.12,207.39,1.01M,1.18%
27.06.2019,208.65,208.29,209.49,205.47,737.60K,0.10%
26.06.2019,208.45,208,210.06,207,705.60K,0.94%
25.06.2019,206.51,209,210.99,206.5,1.04M,-1.65%
24.06.2019,209.98,212.16,213.9,208.62,840.30K,-1.26%
21.06.2019,212.65,211,213.98,210.87,1.23M,1.26%
19.06.2019,210,207,211,205.04,2.60M,0.91%
18.06.2019,208.1,210.6,212.59,207.03,1.10M,0.29%
17.06.2019,207.5,212.1,215.99,206.82,1.37M,-1.92%
14.06.2019,211.57,208.99,215,205.4,1.48M,0.94%
13.06.2019,209.61,206,210.23,205.49,1.28M,3.20%
12.06.2019,203.12,206,206.14,201,1.32M,-1.96%
11.06.2019,207.19,204,209.5,203.65,1.12M,2.32%
10.06.2019,202.5,198.53,204.4,196.5,1.17M,2.04%
07.06.2019,198.45,190.77,198.45,190.53,974.50K,4.44%
06.06.2019,190.01,194,194,188.1,674.10K,-0.62%
05.06.2019,191.19,196,197.2,188.03,1.26M,-1.71%
04.06.2019,194.52,198,198.99,192,803.50K,-0.11%
03.06.2019,194.74,197,198.8,193.51,823.60K,-0.64%
31.05.2019,196,192,196,191.65,841.40K,1.61%
30.05.2019,192.89,190,194.4,189.62,899.70K,1.91%
29.05.2019,189.27,190.3,195.4,187.11,1.41M,0.14%
28.05.2019,189,180.3,189,180.13,2.05M,6.18%
27.05.2019,178,181,182,178,483.00K,0.65%
24.05.2019,176.85,182.49,183.52,176,794.10K,-2.00%
23.05.2019,180.45,177.7,182.29,175.12,1.03M,0.11%
22.05.2019,180.25,181,184.19,178,1.10M,0.47%
21.05.2019,179.41,175.88,181.69,175.61,1.16M,3.71%
20.05.2019,173,169.98,175.2,169.21,1.02M,2.48%
17.05.2019,168.82,165.07,172.82,165.07,1.06M,1.09%
16.05.2019,167,172.2,172.82,166.77,1.77M,-3.47%
15.05.2019,173,176.24,176.24,171.7,1.48M,-2.95%
14.05.2019,178.25,183.01,185,178,1.01M,-0.98%
13.05.2019,180.02,184.5,185.25,180,927.20K,-3.47%
10.05.2019,186.5,187.03,188.72,181.06,877.40K,0.32%
09.05.2019,185.9,192.86,192.86,185.9,1.07M,-3.93%
08.05.2019,193.5,192.1,195.5,192.1,906.40K,0.70%
07.05.2019,192.15,201.5,202.31,191.28,1.70M,-4.03%
06.05.2019,200.21,195,200.96,194.03,1.52M,2.02%
03.05.2019,196.25,191,199,191,1.20M,2.89%
02.05.2019,190.74,188.77,192.55,187.9,1.35M,-0.27%
30.04.2019,191.26,183.6,191.26,183,2.13M,7.14%
29.04.2019,178.51,179,180,177.28,511.00K,-0.25%
26.04.2019,178.95,176,179.95,175.34,1.15M,2.26%
25.04.2019,175,171.02,175,170.06,765.90K,1.47%
24.04.2019,172.46,170.67,172.98,168.5,805.80K,0.85%
23.04.2019,171,168.01,171.44,168,518.80K,2.27%
22.04.2019,167.2,169.91,170.14,166.11,432.20K,-2.11%
18.04.2019,170.8,160.78,171.27,160.35,1.37M,6.87%
17.04.2019,159.82,163.56,164.74,158.52,1.22M,-1.77%
16.04.2019,162.7,163.2,165.73,161.6,733.30K,-0.26%
15.04.2019,163.13,165.62,166.5,162.03,1.30M,-0.81%
12.04.2019,164.46,163.71,168.28,161.93,826.30K,-0.70%
11.04.2019,165.62,168.02,168.02,163.63,643.30K,-1.60%
10.04.2019,168.32,166.62,168.32,165.15,633.00K,1.44%
09.04.2019,165.93,165.77,167.98,163.13,1.06M,-0.26%
08.04.2019,166.36,169.32,169.81,164.74,2.41M,-1.91%
05.04.2019,169.6,168.74,170.33,167.18,735.70K,0.36%
04.04.2019,169,170,171.35,167.53,707.50K,-0.04%
03.04.2019,169.07,167.95,172.76,166.81,1.26M,1.76%
02.04.2019,166.15,172,172.47,165.5,1.11M,-3.00%
01.04.2019,171.29,173.97,174.74,171.29,500.40K,-0.90%
29.03.2019,172.85,172.2,173.95,171,714.80K,1.21%
28.03.2019,170.79,169.01,172.44,165.17,1.40M,1.66%
27.03.2019,168,175,175,166.36,1.58M,-4.86%
26.03.2019,176.59,174.9,176.59,173.78,761.00K,2.01%
25.03.2019,173.11,173.75,176.4,170.57,1.03M,-0.11%
22.03.2019,173.3,179.9,181.89,172.72,1.37M,-4.91%
21.03.2019,182.25,180.55,182.25,179,977.20K,0.34%
20.03.2019,181.63,180.71,182.3,179.16,719.70K,0.51%
19.03.2019,180.7,179.75,182.79,179.31,673.40K,0.16%
18.03.2019,180.42,177,181.46,176.15,1.35M,1.82%
15.03.2019,177.19,178,178.5,175.51,791.40K,0.39%
14.03.2019,176.5,176.95,178.57,175.57,418.40K,-0.44%
13.03.2019,177.28,178.25,179.57,175.6,712.30K,-0.88%
12.03.2019,178.85,181,181.51,177.94,701.80K,-2.04%
11.03.2019,182.57,180.75,183.84,178.25,1.21M,0.97%
08.03.2019,180.82,175.9,183.38,173.8,1.69M,2.07%
07.03.2019,177.15,171.49,177.99,170.5,1.24M,3.23%
06.03.2019,171.61,175.15,175.35,171.14,485.10K,-2.06%
01.03.2019,175.22,174.89,179,173.21,887.90K,1.01%
28.02.2019,173.46,175.9,176.98,170.07,1.00M,-1.44%
27.02.2019,176,178.5,179.58,174.81,797.00K,-1.40%
26.02.2019,178.5,173.01,179.87,171.2,1.06M,2.76%
25.02.2019,173.7,178.76,179.9,173.7,1.29M,-2.36%
22.02.2019,177.9,170.01,181.16,165.93,3.81M,10.43%
21.02.2019,161.1,164.13,164.5,159.57,1.27M,-0.86%
20.02.2019,162.5,171.88,171.88,162.25,1.51M,-4.22%
19.02.2019,169.66,168,171.98,167.61,946.00K,0.66%
18.02.2019,168.54,163.88,168.54,162.5,468.20K,2.79%
15.02.2019,163.97,169.5,169.99,163.97,982.50K,-3.94%
14.02.2019,170.69,162.5,170.99,160.02,1.05M,5.82%
13.02.2019,161.3,165.57,166,158.21,1.20M,-2.12%
12.02.2019,164.8,167.01,168.19,163.3,1.02M,-0.32%
11.02.2019,165.33,169.96,169.98,164.51,678.60K,-2.75%
08.02.2019,170,168,170,164.56,688.30K,1.92%
07.02.2019,166.8,170.61,175.4,166.8,1.18M,-1.71%
06.02.2019,169.7,174.48,174.5,168.5,807.70K,-3.30%
05.02.2019,175.5,176.89,177.36,174.8,451.70K,-0.89%
04.02.2019,177.07,177.5,178.15,174.51,542.60K,-0.97%
01.02.2019,178.8,179,180.48,176.12,645.80K,-0.15%
31.01.2019,179.07,177.5,180.98,173.68,955.80K,1.66%
30.01.2019,176.15,180,182,173.13,1.37M,-1.09%
29.01.2019,178.1,168.1,179.7,168.01,1.60M,6.40%
28.01.2019,167.38,165.99,168.5,164.01,782.90K,-0.06%
24.01.2019,167.48,170.52,171.3,165.15,1.13M,-1.25%
23.01.2019,169.6,163.99,170.16,162.81,1.20M,4.66%
22.01.2019,162.05,163.15,166.95,160.65,2.03M,-2.96%
21.01.2019,167,173.99,174.22,167,1.25M,-4.13%
18.01.2019,174.2,175.5,176.85,173.5,703.00K,-0.16%
17.01.2019,174.48,174.05,176.22,172.75,897.70K,-0.30%
16.01.2019,175,177.1,178,173.18,1.11M,-1.11%
15.01.2019,176.97,180,180.9,175.58,1.03M,-1.13%
14.01.2019,179,177.91,179.69,176,1.07M,0.79%
11.01.2019,177.6,181,181.54,177.51,1.17M,-1.80%
10.01.2019,180.85,179.22,181.1,177.8,763.50K,0.97%
09.01.2019,179.11,181,182,177.75,774.90K,-0.33%
08.01.2019,179.71,181.55,182.49,179,606.20K,-0.81%
07.01.2019,181.17,178,182.48,177.27,661.70K,1.55%
04.01.2019,178.4,184.05,184.35,178.35,866.30K,-3.04%
03.01.2019,184,179.79,185.49,179.36,823.20K,-1.07%
02.01.2019,185.99,180.42,185.99,179.03,844.30K,3.05%
