Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
28.06.2019,76.53,75.76,76.84,75.47,-,0.79%
27.06.2019,75.93,72.29,75.93,72.29,712.70K,3.67%
26.06.2019,73.24,72.83,73.47,72.7,1.30M,0.55%
25.06.2019,72.84,74.65,75.33,72.84,1.04M,-3.07%
24.06.2019,75.15,74.31,75.22,73.5,534.20K,1.16%
21.06.2019,74.29,75.83,75.83,73.89,1.24M,-2.03%
19.06.2019,75.83,74.53,76.17,73.81,791.20K,1.36%
18.06.2019,74.81,75.13,75.39,74.45,839.20K,-0.03%
17.06.2019,74.83,73.84,75.73,73.84,946.00K,0.71%
14.06.2019,74.3,73.46,75.23,73.42,1.29M,0.90%
13.06.2019,73.64,74.06,75.76,73.01,841.60K,-0.49%
12.06.2019,74,72.79,75.15,72.79,1.60M,1.55%
11.06.2019,72.87,73,73.83,72.17,1.78M,0.36%
10.06.2019,72.61,71.82,72.9,71.68,785.00K,1.48%
07.06.2019,71.55,69.86,71.55,69.48,1.03M,2.80%
06.06.2019,69.6,70.13,70.32,68.6,679.30K,0.58%
05.06.2019,69.2,70.44,71,69.2,842.10K,-1.73%
04.06.2019,70.42,70,70.87,69.02,835.30K,1.18%
03.06.2019,69.6,69.8,70.83,69.3,1.26M,0.26%
31.05.2019,69.42,69.58,70.45,69.01,1.09M,-0.47%
30.05.2019,69.75,69.5,70.28,68.42,838.10K,0.50%
29.05.2019,69.4,67.12,69.9,66.8,1.12M,2.50%
28.05.2019,67.71,65.7,67.99,65.31,2.79M,3.03%
27.05.2019,65.72,65.64,65.99,64.93,501.50K,0.18%
24.05.2019,65.6,66.02,66.02,64.89,614.10K,-0.14%
23.05.2019,65.69,65.51,66.78,65.15,527.70K,-1.14%
22.05.2019,66.45,67.34,67.61,65.81,524.10K,-0.82%
21.05.2019,67,65.37,67.7,64.9,897.40K,3.08%
20.05.2019,65,64.48,65.6,63.53,869.30K,1.93%
17.05.2019,63.77,64.19,65.21,63.53,930.00K,-0.89%
16.05.2019,64.34,65.5,65.62,64.17,1.37M,-2.99%
15.05.2019,66.32,66.98,67.25,65.51,1.40M,-1.82%
14.05.2019,67.55,67.55,67.89,66.87,740.30K,0.00%
13.05.2019,67.55,67,68.12,66.5,1.04M,-0.76%
10.05.2019,68.07,68.25,69.2,67.7,947.60K,-0.40%
09.05.2019,68.34,68.56,69.09,68.17,743.20K,-1.13%
08.05.2019,69.12,68.44,70.35,68.44,1.25M,1.60%
07.05.2019,68.03,68,68.7,67.5,721.40K,-0.76%
06.05.2019,68.55,68.9,69.49,68.07,629.70K,-1.03%
03.05.2019,69.26,69.1,69.98,68.88,1.10M,0.23%
02.05.2019,69.1,68.9,69.84,67.79,1.90M,-0.06%
30.04.2019,69.14,67.52,69.14,66.78,1.47M,1.30%
29.04.2019,68.25,68.09,68.85,67.72,924.70K,0.74%
26.04.2019,67.75,67.18,68.94,67.05,954.60K,-0.29%
25.04.2019,67.95,65.92,68.4,65.65,1.17M,2.00%
24.04.2019,66.62,67,67,65.85,1.61M,-0.57%
