Codigo,Tipo,Strike,Cotação,T0,TF,TIPO,AÇÃO,Cotação da Ação
BRFSR250,PUT,25.00, 0.06,11-06 10:46,17-06-2019,E,BRFS3,27
BRFSR262,PUT,26.25, 0.23,11-06 16:44,17-06-2019,E,BRFS3,27
BRFSR27,PUT,27.00, 0.50,11-06 16:04,17-06-2019,E,BRFS3,27
BRFSR290,PUT,29.00, 2.00,11-06 13:07,17-06-2019,E,BRFS3,27
BRFSR320,PUT,32.00, 5.00,11-06 14:17,17-06-2019,E,BRFS3,27
BRFSS230,PUT,23.00, 0.14,11-06 12:27,15-07-2019,E,BRFS3,27
BRFSS240,PUT,24.00, 0.27,11-06 10:17,15-07-2019,E,BRFS3,27
BRFSS25,PUT,25.00, 0.49,11-06 15:50,15-07-2019,E,BRFS3,27
BRFSS26,PUT,26.00, 0.79,11-06 16:24,15-07-2019,E,BRFS3,27
BRFSS27,PUT,27.00, 1.20,11-06 15:14,15-07-2019,E,BRFS3,27
BRFSS28,PUT,28.00, 1.70,11-06 13:05,15-07-2019,E,BRFS3,27
BRFSS300,PUT,30.00, 3.12,11-06 16:52,15-07-2019,E,BRFS3,27
BRFSF265,CALL,26.50, 1.04,11-06 10:16,17-06-2019,A,BRFS3,27
BRFSF27,CALL,27.00, 0.70,11-06 11:51,17-06-2019,A,BRFS3,27
BRFSF272,CALL,27.25, 0.41,11-06 16:45,17-06-2019,E,BRFS3,27
BRFSF280,CALL,28.00, 0.19,11-06 15:51,17-06-2019,A,BRFS3,27
BRFSF58,CALL,28.50, 0.10,11-06 13:43,17-06-2019,A,BRFS3,27
BRFSF295,CALL,29.50, 0.02,11-06 14:50,17-06-2019,A,BRFS3,27
BRFSF300,CALL,30.00, 0.03,11-06 13:05,17-06-2019,A,BRFS3,27
BRFSF312,CALL,31.25, 0.02,11-06 12:56,17-06-2019,E,BRFS3,27
BRFSF320,CALL,32.00, 0.01,11-06 15:13,17-06-2019,E,BRFS3,27
BRFSF330,CALL,33.00, 0.01,11-06 14:20,17-06-2019,A,BRFS3,27
BRFSG25,CALL,25.00, 2.64,11-06 12:21,15-07-2019,A,BRFS3,27
BRFSG26,CALL,26.00, 1.89,11-06 10:24,15-07-2019,A,BRFS3,27
BRFSG27,CALL,27.00, 1.39,11-06 12:47,15-07-2019,A,BRFS3,27
BRFSG277,CALL,27.75, 1.00,11-06 13:12,15-07-2019,E,BRFS3,27
BRFSG28,CALL,28.00, 0.89,11-06 16:46,15-07-2019,A,BRFS3,27
BRFSG285,CALL,28.50, 0.73,11-06 14:15,15-07-2019,A,BRFS3,27
BRFSG290,CALL,29.00, 0.57,11-06 10:20,15-07-2019,A,BRFS3,27
BRFSG300,CALL,30.00, 0.35,11-06 15:02,15-07-2019,A,BRFS3,27
BRFSG320,CALL,32.00, 0.15,11-06 14:48,15-07-2019,A,BRFS3,27
BRFSG370,CALL,37.00, 0.04,11-06 15:18,15-07-2019,A,BRFS3,27
