"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.06.2019","202,35","198,53","202,45","196,50","787,00K","1,97%"
"07.06.2019","198,45","190,77","198,45","190,53","974,50K","4,44%"
"06.06.2019","190,01","194,00","194,00","188,10","674,10K","-0,62%"
"05.06.2019","191,19","196,00","197,20","188,03","1,26M","-1,71%"
"04.06.2019","194,52","198,00","198,99","192,00","803,50K","-0,11%"
"03.06.2019","194,74","197,00","198,80","193,51","823,60K","-0,64%"
"31.05.2019","196,00","192,00","196,00","191,65","841,40K","1,61%"
"30.05.2019","192,89","190,00","194,40","189,62","899,70K","1,91%"
"29.05.2019","189,27","190,30","195,40","187,11","1,41M","0,14%"
"28.05.2019","189,00","180,30","189,00","180,13","2,05M","6,18%"
"27.05.2019","178,00","181,00","182,00","178,00","483,00K","0,65%"
"24.05.2019","176,85","182,49","183,52","176,00","794,10K","-2,00%"
"23.05.2019","180,45","177,70","182,29","175,12","1,03M","0,11%"
"22.05.2019","180,25","181,00","184,19","178,00","1,10M","0,47%"
"21.05.2019","179,41","175,88","181,69","175,61","1,16M","3,71%"
"20.05.2019","173,00","169,98","175,20","169,21","1,02M","2,48%"
"17.05.2019","168,82","165,07","172,82","165,07","1,06M","1,09%"
"16.05.2019","167,00","172,20","172,82","166,77","1,77M","-3,47%"
"15.05.2019","173,00","176,24","176,24","171,70","1,48M","-2,95%"
"14.05.2019","178,25","183,01","185,00","178,00","1,01M","-0,98%"
"13.05.2019","180,02","184,50","185,25","180,00","927,20K","-3,47%"
"10.05.2019","186,50","187,03","188,72","181,06","877,40K","0,32%"
